Effect.size,Citation,Enemy,Focal species,Associated species,Human.Parasite,Macroparasite,Route,Generalist,Manipulative,Proportion.Focal,Standardized.density,g,var_g
128,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Phyllosticta sp.,Andropogon gerardi,Many,No,No,Direct,No,Yes,,,-0.541653688,0.083037898
129,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Mycosphaerella sp.,Anemone cylindrica,Many,No,No,Direct,No,Yes,,,-1.896342658,0.120577547
130,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Septoria sp. 1,Asclepias tuberosa,Many,No,No,Direct,No,Yes,,,-0.177857815,0.070045391
131,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Septoria sp. 2,Aster azureus,Many,No,No,Direct,No,Yes,,,-2.861220855,0.187274815
132,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Unidentified fungus 2,Astragalus canadensis,Many,No,No,Direct,No,Yes,,,0.062293212,0.080761746
133,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Bipolaris sp.,Bouteloua gracilis,Many,No,No,Direct,No,Yes,,,-1.320631172,0.128736939
134,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Unidentified fungus 3,Buchloe dactyloides,Many,No,No,Direct,No,Yes,,,-0.400538208,0.281488571
135,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Unidentified bacteria 1,Coreopsis palmata,Many,No,No,Direct,No,Yes,,,-1.055285634,0.16160403
136,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Unidentified fungus 4,Coreopsis palmata,Many,No,No,Direct,No,Yes,,,-0.753811918,0.147877753
137,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Unidentified fungus 5,Elymus canadensis,Many,No,No,Direct,No,Yes,,,1.483243201,0.387451223
138,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Puccinia emaculata,Euphorbia corollata,Many,No,No,Direct,Yes,Yes,,,0.062425483,0.070782617
139,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Puccinia liatridis,Koeleria cristata,Many,No,No,Direct,Yes,Yes,,,-0.062143668,0.091856516
140,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Uromyces lespedezae-procumbentis,Lespedeza capitata,Many,No,No,Direct,No,Yes,,,-0.253508362,0.07186162
141,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Puccinia liatridis,Liatris aspera,Many,No,No,Direct,Yes,Yes,,,0,0.082338882
142,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Septoria liatridis,Liatris aspera,Many,No,No,Direct,No,Yes,,,-0.952217241,0.102712192
143,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Puccinia emaculata,Panicum virgatum,Many,No,No,Direct,Yes,Yes,,,-1.198154966,0.174590894
144,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Unidentified fungus 6,Panicum virgatum,Many,No,No,Direct,No,Yes,,,-0.77737849,0.153886843
145,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Unidentified fungus 7,Petalostemum purpureum,Many,No,No,Direct,No,Yes,,,-1.929175362,0.147058749
146,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Unidentified fungus 8,Poa pratensis,Many,No,No,Direct,No,Yes,,,0.424271915,0.108275532
147,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Septoria rudbeckiae,Rudbeckia hirta,Many,No,No,Direct,No,Yes,,,-0.124771048,0.088099678
148,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Colletotrichum sp. 2,Schizachyrium scoparium,Many,No,No,Direct,No,Yes,,,0,0.079088416
149,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Cercospora sp.,Solidago nemoralis,Many,No,No,Direct,No,Yes,,,-1.57495788,0.109789946
150,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Colletotrichum sp. 3,Sorghastrum nutans,Many,No,No,Direct,No,Yes,,,-1.303459669,0.084910888
151,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Helminthosporium sp.,Sporobolus cryptandrus,Many,No,No,Direct,No,Yes,,,-2.013240714,0.488061259
152,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Unidentified fungus 9,Vicia villosa,Many,No,No,Direct,No,Yes,,,-0.342278105,0.534446764
153,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Puccinia emaculata,Euphorbia corollata,Many,No,No,Direct,Yes,Yes,,,-0.701376396,0.078743691
154,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Puccinia emaculata,Panicum virgatum,Many,No,No,Direct,Yes,Yes,,,-0.501782995,0.143420575
155,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Phyllosticta sp.,Andropogon gerardi,Many,No,No,Direct,No,Yes,,,-0.532874593,0.076904569
156,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Septoria sp. 1,Asclepias tuberosa,Many,No,No,Direct,No,Yes,,,0,0.068300011
157,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Septoria sp. 2,Aster azureus,Many,No,No,Direct,No,Yes,,,-1.770576838,0.120930299
158,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Puccinia emaculata,Euphorbia corollata,Many,No,No,Direct,Yes,Yes,,,-1.040492923,0.088322302
159,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Uromyces lespedezae-procumbentis,Lespedeza capitata,Many,No,No,Direct,No,Yes,,,-0.747575799,0.078337123
160,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Uromyces lespedezae-procumbentis,Lespedeza capitata,Many,No,No,Direct,No,Yes,,,-0.1534567,0.07802555
161,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Colletotrichum sp.,Lespedeza capitata,Many,No,No,Direct,No,Yes,,,-1.273688884,0.102183658
162,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Septoria liatridis,Liatris aspera,Many,No,No,Direct,No,Yes,,,-1.676559843,0.122528098
163,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Erysiphe cichoracearum,Monarda fistulosa,Many,No,No,Direct,No,Yes,,,-0.901764518,0.063123503
164,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Colletotrichum sp. 2,Schizachyrium scoparium,Many,No,No,Direct,No,Yes,,,-0.825670698,0.080051876
165,"C. E. Mitchell, D. Tilman, J. V. Groth, Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease. Ecology 83, 1713-1726 (2002).",Colletotrichum sp. 3,Sorghastrum nutans,Many,No,No,Direct,No,Yes,,,0,0.063937899
166,"J. M. H. Knops et al., Effects of plant species richness on invasion dynamics, disease outbreaks, insect abundances and diversity. Ecology Letters 2, 286-293 (1999).",Septoria liatridis,Liatris aspera,Many,No,No,Direct,No,Yes,,,-1.127331387,0.752305309
167,"J. M. H. Knops et al., Effects of plant species richness on invasion dynamics, disease outbreaks, insect abundances and diversity. Ecology Letters 2, 286-293 (1999).",Uromyces lespedezae-procumbentis,Lespedeza capitata,Many,No,No,Direct,No,Yes,,,-4.6593613,1.979291605
168,"J. M. H. Knops et al., Effects of plant species richness on invasion dynamics, disease outbreaks, insect abundances and diversity. Ecology Letters 2, 286-293 (1999).",Erysiphe cichoracearum,Monarda fistulosa,Many,No,No,Direct,No,Yes,,,-1.031317277,0.723357053
169,"J. M. H. Knops et al., Effects of plant species richness on invasion dynamics, disease outbreaks, insect abundances and diversity. Ecology Letters 2, 286-293 (1999).",Colletotrichum sp. 2,Schizachyrium scoparium,Many,No,No,Direct,No,Yes,,,-1.613754505,0.908122719
170,"L. J. Dizney, L. A. Ruedas, Increased Host Species Diversity and Decreased Prevalence of Sin Nombre Virus. Emerging Infectious Diseases 15, 1012-1018 (2009).",Sin Nombre virus,Peromyscus maniculatus,Mammals,Yes,No,Direct,Yes,No,,,-1.548572885,0.886589645
171,"B. T. Derne, E. J. Fearnley, C. L. Lau, S. Paynter, P. Weinstein, Biodiversity and leptospirosis risk: A case of pathogen regulation? Medical Hypotheses 77, 339-344 (2011).",Leptospira spp.,Humans,Terrestrial animals,Yes,No,Direct,Yes,No,,,-4.923111195,0.633647682
172,"C. G. Becker et al., Partitioning the net effect of host diversity on an emerging amphibian pathogen. Proceedings of the Royal Society B-Biological Sciences 281,  (2014).",Batrachochytrium dendrobatidis,Brachycephalus pitanga,3 others,No,No,Direct,Yes,Yes,0.25,0.25,-0.791621316,0.308952531
173,"C. G. Becker et al., Partitioning the net effect of host diversity on an emerging amphibian pathogen. Proceedings of the Royal Society B-Biological Sciences 281,  (2014).",Batrachochytrium dendrobatidis,Ischnocnema parva,3 others,No,No,Direct,Yes,Yes,0.25,0.25,-0.342505618,0.301627373
174,"C. G. Becker et al., Partitioning the net effect of host diversity on an emerging amphibian pathogen. Proceedings of the Royal Society B-Biological Sciences 281,  (2014).",Batrachochytrium dendrobatidis,Dendropsophus minutus,3 others,No,No,Direct,Yes,Yes,0.25,0.25,-0.440112496,0.29149195
175,"C. G. Becker et al., Partitioning the net effect of host diversity on an emerging amphibian pathogen. Proceedings of the Royal Society B-Biological Sciences 281,  (2014).",Batrachochytrium dendrobatidis,Hypsiboas bandeirantes,3 others,No,No,Direct,Yes,Yes,0.25,0.25,0.048805557,0.291611356
176,"C. G. Becker et al., Partitioning the net effect of host diversity on an emerging amphibian pathogen. Proceedings of the Royal Society B-Biological Sciences 281,  (2014).",Batrachochytrium dendrobatidis,Scinax hayii,3 others,No,No,Direct,Yes,Yes,0.25,0.25,0.313221073,0.291525118
177,"C. G. Becker et al., Partitioning the net effect of host diversity on an emerging amphibian pathogen. Proceedings of the Royal Society B-Biological Sciences 281,  (2014).",Batrachochytrium dendrobatidis,Hylodes phyllodes,3 others,No,No,Direct,Yes,Yes,0.25,0.25,-0.09202204,0.289166187
178,"C. G. Becker et al., Partitioning the net effect of host diversity on an emerging amphibian pathogen. Proceedings of the Royal Society B-Biological Sciences 281,  (2014).",Batrachochytrium dendrobatidis,Physalaemus cuvieri,3 others,No,No,Direct,Yes,Yes,0.25,0.25,-0.997909135,0.31920693
179,"K. Prinz, T. C. Kelly, R. M. O'Riordan, S. C. Culloty, Non-host organisms affect transmission processes in two common trematode parasites of rocky shores. Marine Biology 156, 2303-2311 (2009).",Echinostephilia patellae,Mytilus edulis,Actinia equina,No,Yes,Complex,No,Yes,0.3,1,-3.148460935,0.697057263
180,"K. Prinz, T. C. Kelly, R. M. O'Riordan, S. C. Culloty, Non-host organisms affect transmission processes in two common trematode parasites of rocky shores. Marine Biology 156, 2303-2311 (2009).",Echinostephilia patellae,Mytilus edulis,Austrominius modestus,No,Yes,Complex,No,Yes,,1,-4.209234822,1.02225941
181,"K. Prinz, T. C. Kelly, R. M. O'Riordan, S. C. Culloty, Non-host organisms affect transmission processes in two common trematode parasites of rocky shores. Marine Biology 156, 2303-2311 (2009).",Parorchis acanthus,Mytilus edulis,Actinia equina,No,Yes,Complex,No,Yes,0.3,1,-1.863792433,0.332024894
182,"K. Prinz, T. C. Kelly, R. M. O'Riordan, S. C. Culloty, Non-host organisms affect transmission processes in two common trematode parasites of rocky shores. Marine Biology 156, 2303-2311 (2009).",Parorchis acanthus,Mytilus edulis,Austrominius modestus,No,Yes,Complex,No,Yes,,1,-2.532897961,0.423957702
183,"D. W. Thieltges, K. Reise, K. Prinz, K. T. Jensen, Invaders interfere with native parasite-host interactions. Biological Invasions 11, 1421-1429 (2009).",Himasthla elongata,Mytilus edulis,Crassostrea gigas,No,Yes,Complex,No,Yes,0.666666667,1,-1.594618227,0.536997289
184,"D. W. Thieltges, K. Reise, K. Prinz, K. T. Jensen, Invaders interfere with native parasite-host interactions. Biological Invasions 11, 1421-1429 (2009).",Himasthla elongata,Mytilus edulis,Crassostrea gigas,No,Yes,Complex,No,Yes,0.5,1,-2.133788579,0.66263769
185,"D. W. Thieltges, K. Reise, K. Prinz, K. T. Jensen, Invaders interfere with native parasite-host interactions. Biological Invasions 11, 1421-1429 (2009).",Himasthla elongata,Mytilus edulis,Crassostrea gigas,No,Yes,Complex,No,Yes,0.4,1,-2.582723481,0.79497562
186,"D. W. Thieltges, K. Reise, K. Prinz, K. T. Jensen, Invaders interfere with native parasite-host interactions. Biological Invasions 11, 1421-1429 (2009).",Himasthla elongata,Mytilus edulis,Crepidula fornicata,No,Yes,Complex,No,Yes,0.285714286,1,-0.809233007,0.419000462
187,"D. W. Thieltges, K. Reise, K. Prinz, K. T. Jensen, Invaders interfere with native parasite-host interactions. Biological Invasions 11, 1421-1429 (2009).",Himasthla elongata,Mytilus edulis,Crepidula fornicata,No,Yes,Complex,No,Yes,0.166666667,1,-1.261045969,0.477461642
188,"D. W. Thieltges, K. Reise, K. Prinz, K. T. Jensen, Invaders interfere with native parasite-host interactions. Biological Invasions 11, 1421-1429 (2009).",Himasthla elongata,Mytilus edulis,Crepidula fornicata,No,Yes,Complex,No,Yes,0.090909091,1,-1.463391193,0.511916445
189,"D. W. Thieltges, K. Reise, K. Prinz, K. T. Jensen, Invaders interfere with native parasite-host interactions. Biological Invasions 11, 1421-1429 (2009).",Himasthla elongata,Mytilus edulis,Crassostrea gigas,No,Yes,Complex,No,Yes,0.333333333,1,-2.73786495,0.846565864
190,"D. W. Thieltges, K. Reise, K. Prinz, K. T. Jensen, Invaders interfere with native parasite-host interactions. Biological Invasions 11, 1421-1429 (2009).",Himasthla elongata,Mytilus edulis,Crepidula fornicata,No,Yes,Complex,No,Yes,0.111111111,1,-2.214216087,0.684493889
191,"D. W. Thieltges, K. Reise, K. Prinz, K. T. Jensen, Invaders interfere with native parasite-host interactions. Biological Invasions 11, 1421-1429 (2009).",Himasthla elongata,Mytilus edulis,"Crassostrea gigas, Crepidula fornicata",No,Yes,Complex,No,Yes,0.166666667,1,-3.308710845,1.0622948
192,"C. Kilonzo et al., Fecal Shedding of Zoonotic Food-Borne Pathogens by Wild Rodents in a Major Agricultural Region of the Central California Coast. Applied and Environmental Microbiology 79, 6337-6344 (2013).",Escherichia coli,Small mammals,small mammals,Yes,No,Direct,Yes,No,,,-0.632853498,0.318655256
193,"C. Kilonzo et al., Fecal Shedding of Zoonotic Food-Borne Pathogens by Wild Rodents in a Major Agricultural Region of the Central California Coast. Applied and Environmental Microbiology 79, 6337-6344 (2013).",Giardia spp.,Small mammals,small mammals,Yes,No,Direct,Yes,No,,,-0.007297222,0.309848843
194,"C. Kilonzo et al., Fecal Shedding of Zoonotic Food-Borne Pathogens by Wild Rodents in a Major Agricultural Region of the Central California Coast. Applied and Environmental Microbiology 79, 6337-6344 (2013).",Salmonella enterica,Small mammals,small mammals,Yes,No,Direct,Yes,No,,,-1.224008652,0.382575214
195,"C. Kilonzo et al., Fecal Shedding of Zoonotic Food-Borne Pathogens by Wild Rodents in a Major Agricultural Region of the Central California Coast. Applied and Environmental Microbiology 79, 6337-6344 (2013).",Cryptosporidium spp,Small mammals,small mammals,Yes,No,Direct,Yes,No,,,-0.382820492,0.322638538
196,"S. C. d. C. Xavier et al., Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS Negl Trop Dis 6, e1647 (2012).",Trypanosoma cruzi,Small mammals,small mammals,Yes,No,Complex,Yes,No,,,-0.680680602,0.180245368
197,"S. C. d. C. Xavier et al., Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS Negl Trop Dis 6, e1647 (2012).",Trypanosoma cruzi,Small mammals,small mammals,Yes,No,Complex,Yes,No,,,-0.428735003,0.169758407
198,"S. C. d. C. Xavier et al., Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS Negl Trop Dis 6, e1647 (2012).",Trypanosoma cruzi,Canis rufus,Small mammals,Yes,No,Complex,Yes,No,,,-0.912897968,0.192623075
199,"C. Lacroix et al., Non-random biodiversity loss underlies predictable increases in viral disease prevalence. Journal of the Royal Society Interface 11,  (2014).",Barley/Cereal Yellow Dwarf Virus,Bromus hordeaceus,grasses,No,No,Complex,Yes,No,,,-1.067867772,0.162226433
200,"E. Rendn-Franco, C. Muoz-Garca, E. Romero-Callejas, K. Moreno-Torres, G. Suzn, Effect of host species diversity on multiparasite systems in rodent communities. Parasitology Research 113, 447-450 (2014).",Eimeria spp,Small mammals,small mammals,No,No,Direct,Yes,No,,,-6.423098812,2.327272727
201,"E. Rendn-Franco, C. Muoz-Garca, E. Romero-Callejas, K. Moreno-Torres, G. Suzn, Effect of host species diversity on multiparasite systems in rodent communities. Parasitology Research 113, 447-450 (2014).",Eimeria spp,Small mammals,small mammals,No,No,Direct,Yes,No,,,-2.721205372,1.163636364
202,"S. M. Moore, E. T. Borer, The influence of host diversity and composition on epidemiological patterns at multiple spatial scales. Ecology 93, 1095-1105 (2012).",Barley/Cereal Yellow Dwarf Virus,grasses,grasses,No,No,Complex,Yes,No,,,-0.697834917,0.226939686
